id,poj_unicode,hanji,poj_bunim_unicode,comment,hanlo_comment,tailo,page_number,new_comment
,áⁿ,攬,Lám,"phō tsòe-hóe, chhin-chhiūⁿ áⁿ-áⁿ tsòe chi̍t-ē.","抱 做夥, 親像 áⁿ-áⁿ 做 一下.",ann2,2,
,àⁿ,㰳,À,"gû ê siaⁿ teh háu, àⁿ-àⁿ-kiò.","牛 ê 聲 teh 哮, àⁿ-àⁿ叫.",ann3,2,
,àⁿ,向,Hiòng,"lâng sûi lo̍h kōe ná chhin-chhiūⁿ àⁿ-chêng, àⁿ-āu, àⁿ--lo̍h-lâi.","人 垂 落 低 ná 親像 向前, 向後, 向 落來.",ann3,2,
,âⁿ,攔,Lân,"ēng chhiú tsó͘-chí, âⁿ-tsa̍h.","用 手 阻止, 攔閘.",ann5,2,
,âⁿ,—,,"kî-koài mn̄g ê siaⁿ, chhin-chhiūⁿ ū-iáⁿ âⁿ, bô, án-ni.","奇怪 問 ê 聲, 親像 有影 âⁿ, 無, 按呢.",ann5,2,
,āⁿ,餡,Hām,"tāu-āⁿ, āⁿ-piáⁿ, tiⁿ-āⁿ, kiâm-āⁿ, chiū sī ké só͘ pau ê mi̍h.","豆餡, 餡餅, 甜餡, 鹹餡, 就 是 粿 所 包 ê 物.",ann7,2,
,āⁿ,—,,"gû teh háu ê siaⁿ, chhin-chhiūⁿ āⁿ-āⁿ-háu.","牛 teh 哮 ê 聲, 親像 āⁿ-āⁿ哮.",ann7,2,
,ah,唉,Ai,"lâng thó͘-khùi ê siaⁿ, chhin-chhiūⁿ ai-ah, hâi-ah.","人 吐氣 ê 聲, 親像 ai-ah, hâi-ah.",ah4,2,
,ah,益,Ek,"ah-bú-chháu, chiū-sī io̍h ê miâ.","鴨母草, 就是 藥 ê 名.",ah4,2,
,ah,抑,Ek,"bēng-lēng lâng tsòe tāi-chì, chhin-chhiūⁿ ah-ji̍h, ah-la̍h.","命令 人 做 tāi-chì, 親像 壓揤, 壓勒.",ah4,2,
,ah,押,Ap,"ah-sàng, ah-hoān; ah-chiúⁿ, chiū-sī hō͘ tsûn oē oa̍t ê khì-kū.","押送, 押犯; 押槳, 就是 hō͘ 船 會 oa̍t ê 器具.",ah4,2,
,ah,鴨,Ap,"ah, ah-bú, ah-kak; ah-kha-sóe, chiū-sī gō͘-kak ê miâ.","鴨, 鴨母, 鴨鵤; 鴨腳黍, 就是 五穀 ê 名.",ah4,2,
,a̍h,匣,A̍p,khoeh-á; chiàn-a̍h; hoe-a̍h; ge̍k-a̍h.,篋á; 餞盒; 花盒; 玉盒.,ah8,2,
,a̍h,盒,A̍p,"ū kòa ê sòe a̍p-á, chhin-chhiūⁿ hún-a̍h, hoe-a̍h, hoe-a̍h, ge̍k-a̍h.","有 蓋 ê 細 盒á, 親像 粉盒, 花盒, 灰盒, 玉盒.",ah8,2,
,a̍h,—,,"a̍h-chhioh, chiū-sī sì-kak ê keh-chhioh, thang keh sòaⁿ koah-tsóa, ū lâng ēng {畫} jī.","押尺, 就是 四角 ê 格尺, 通 格 線 割紙, 有 人 用 {畫} 字.",ah8,2,
,Ai,哀,,"pi-siong, pi-ai, lîn-bín, pek-chhiat, khó-sioh.","悲傷, 悲哀, 憐憫, 迫切, 可惜.",Ai1,2,
,Ai,埃,,"thô͘-soa, thô͘-hún, tîn-ai, chiū-sī oē eng ê mi̍h.","土沙, 土粉, 塵埃, 就是 會 坱 ê 物.",Ai1,2,
,Ai,挨,,"kūn-oá, oá-khò, oe-khoeh, tam-tng, piⁿ-thâu, iân-chhiân.","近oá, oá靠, 挨khoeh, 擔當, 邊頭, 延chhiân.",Ai1,2,
,Ai,毐,,"bô thàn chêng-lí ê lâng, jī iā siá chhin-chhiūⁿ {毒} jī.","無 趁 情理 ê 人, 字 也 寫 親像 {毒} 字.",Ai1,3,
,Ai,唉,,"kiaⁿ-hiâⁿ, ut-tsut, thó͘-khùi ê siaⁿ, chhin-chhiūⁿ ai-ah, hàiⁿ-ah.","驚惶, 鬱卒, 吐氣 ê 聲, 親像 唉ah, hàiⁿ-ah.",Ai1,3,
,ai,—,,"Tiô-chiu-ai, chiū-sī Tiô-chiu hú-lāi ê hì.","潮州哀, 就是 潮州 府內 ê 戲.",ai1,3,
,Ái,餲,,piáⁿ ê miâ; iā koh-tsài sī pn̄g chhàu-sng ê ì-sù.,餅 ê 名; 也 koh再 是 飯 臭酸 ê 意思.,Ai2,3,
,Ái,藹,,"chhiong-sēng, hô-sūn, ām-ām, tsōe-tsōe, hó-khòaⁿ, chhiū-ba̍k tsōe.","充盛, 和順, ām-ām, 濟濟, 好看, 樹木 濟.",Ai2,3,
,Ái,靄,,"hûn àm-àm, tsōe-tsōe ê hûn tsū-chi̍p hó-khòaⁿ.","雲 暗暗, 濟濟 ê 雲 聚集 好看.",Ai2,3,
,Ái,靉,,hûn tsōe-tsōe ê khoán-sit: ba̍k-kiàⁿ; ái-tāi chiū-sī bô kng.,雲 濟濟 ê 款式: 目鏡; 靉靆 就是 無 光.,Ai2,3,
,Ái,㗨,,"lâng teh chhiò ê siaⁿ, chhiò ê khoán-sit.","人 teh 笑 ê 聲, 笑 ê 款式.",Ai2,3,
,Ái,壒,,"thô͘-soa, thô͘-hún; tîn-ai teh pe, chiū-sī thô͘-hún eng ê ì-sù.","土沙, 土粉; 塵埃 teh 飛, 就是 土粉 坱 ê 意思.",Ai2,3,
,Ái,毐,,"bô thàn chêng-lí ê lâng, jī iā siá chhin-chhiūⁿ {毒} jī.","無 趁 情理 ê 人, 字 也 寫 親像 {毒} 字.",Ai2,3,
,Ái,矮,,"té, oé, oé-sòe, oé-lâng, sòe-hàn; tūi-lo̍h.","短, 矮, 矮細, 矮人, 細漢; 墜落.",Ai2,3,
,Ái,躷,,"té, oé, oé-sòe, oé-lâng, sòe-hàn; tūi-lo̍h.","短, 矮, 矮細, 矮人, 細漢; 墜落.",Ai2,3,
,Ài,愛,,"thiàⁿ-thàng, jîn-ài, ì-ài, ài-sioh, ài-beh, jîn-tsû.","疼痛, 仁愛, 意愛, 愛惜, 愛beh, 仁慈.",Ai3,3,
,Ài,伌,,"kan-khó͘, ut-tsut; chiū-sī sim-lāi bōe pêng-an ê ì-sù.","艱苦, 鬱卒; 就是 心內 bōe 平安 ê 意思.",Ai3,3,
,Ài,僾,,chhoán-khùi; saⁿ-tâng ná chhin-chhiūⁿ oh thang hun-piat.,喘氣; 相同 ná 親像 oh-thang 分別.,Ai3,3,
,Ài,曖,,"ji̍t hō͘ hûn jia, bô bêng; ài-ài, chiū-sī ge̍h hō͘ hûn jia ê ì-sù.","日 hō͘ 雲 遮, 無 明; 曖曖, 就是 月 hō͘ 雲 遮 ê 意思.",Ai3,3,
,Ài,薆,,chháu hoat kàu ām-ām; Tâi-oân bû-hoa-kó ê ké-chí miâ.,草 發 到 ām-ām; 台灣 無花果 ê 果子 名.,Ai3,3,
,Ài,噯,,"phah-eh; bô hoaⁿ-hí ê siaⁿ lâi ìn ê oē, un-hô ê khong-khì.","phah 噎; 無 歡喜 ê 聲 來 應 ê 話, 溫和 ê 空氣.",Ai3,3,
,Ài,瞹,,tūn-tūn; bū-bū; bóng-tóng; bô se̍k-tsai; bô iàu-kín ê khoán.,沌沌; 霧霧; 莽懂; 無 熟知; 無 要緊 ê 款.,Ai3,3,
,Ài,隘,,"lō͘-oe̍h; gûi-hiám, oe̍h-khoeh; khún-pek, phī-lō͘; koan-ài, hiám-ài.","路狹; 危險, 狹khoeh; 窘迫, phī路; 關隘, 險隘.",Ai3,3,
,Ài,呃,,"chiáu-á háu bô pîⁿ ê siaⁿ; kho͘-eh, phah-eh; kho͘-tsaⁿ, ke̍h-ke̍h-háu.","鳥á 哮 無 平 ê 聲; 呼噎, phah 噎; 呼tsaⁿ, ke̍h-ke̍h哮.",Ai3,3,
,Ài,𪕭,,niau-chhú ê kiáⁿ kui-tīn chhōa teh kiâⁿ.,貓鼠 ê kiáⁿ kui陣 chhōa teh 行.,Ai3,3,
,Ài,𢟰,,"khiû-khiām, liám-séng, kiâm-siap, tàng-sng.","khiû儉, 斂省, 鹹澀, 凍霜.",Ai3,3,
,Ài,𣩄,,"sūn-thàn, saⁿ sūn-ho̍k; kè-óng, chiū-sī lâng lī-khui sè-kan.","順趁, 相 順服; 過往, 就是 人 離開 世間.",Ai3,3,
,Ài,𣩱,,"sūn-thàn, saⁿ sūn-ho̍k; kè-óng, chiū-sī lâng lī-khui sè-kan.","順趁, 相 順服; 過往, 就是 人 離開 世間.",Ai3,3,
,Ài,阨,,gûi-hiám ê kan-gāi; lō͘-oe̍h; pháiⁿ-kiâⁿ; kan-khó͘; kài-hān.,危險 ê 干礙; 路狹; pháiⁿ行; 艱苦; 界限.,Ai3,3,
,âi,噯,Ài,"kî-koài, á-sī hoân-ló ê siaⁿ, chhin-chhiūⁿ âi-ah, âi-ò, âi-ioh, àn-ni.","奇怪, 抑是 煩惱 ê 聲, 親像 âi-ah, âi-ò, âi-ioh, 按呢.",ai5,3,
,aihⁿ,唷,Io̍k,lâng ê nâ-âu lāi phah-eh ê siaⁿ.,人 ê 嚨喉 內 phah 噎 ê 聲.,ainnh4,3,
,aihⁿ,—,,"m̄ kam-goān ê siaⁿ, chhin-chhiūⁿ iⁿ-iⁿ-aihⁿ-aihⁿ.","m̄ 甘願 ê 聲, 親像 iⁿ-iⁿ-aihⁿ-aihⁿ.",ainnh4,3,
,Ak,沃,,"koàn-ak, sóe, pûi, hong-sēng, sip-lūn, ak-tâm, ak-pûi.","灌沃, 洗, 肥, 豐盛, 濕潤, 沃澹, 沃肥.",Ak4,3,
,Ak,偓,,ka-kī iok-sok; chiàu chhù-sū lâi pâi-lia̍t.,家己 約束; 照 次序 來 排列.,Ak4,4,
,Ak,幄,,"pò͘-pîⁿ; ûi-tiùⁿ; ûi toh ê pò͘; jia-khàm, jia-tsa̍h.","布棚; 帷帳; 圍 桌 ê 布; 遮khàm, 遮閘.",Ak4,4,
,Ak,渥,,"tsúi-miâ, sip-tâm, pûi; tōa si-un; ní-sek.","水名, 濕澹, 肥; 大 施恩; 染色.",Ak4,4,
,Ak,鷽,,"chi̍t-hō sòe-chiah chiáu ê miâ, i ê kha sī sio̍k âng ê sek.","一號 細隻 鳥 ê 名, 伊 ê 腳 是 屬 紅 ê 色.",Ak4,4,
,Ak,齷,,"chhùi-khí sio-ha̍p ê siaⁿ; sòe, ba̍t, ak-tsak, u-khu, lâ-sâm.","嘴齒 相合 ê 聲; 細, 密, 偓促, 迂拘, lâ-sâm.",Ak4,4,
,Ak,鋈,,"gûn ê lūi á-sī pa̍t-mi̍h, ēng kim lâi siuⁿ ê ì-sù.","銀 ê 類 抑是 別物, 用 金 來 鑲 ê 意思.",Ak4,4,
,Ak,嗌,,"chhiò ê siaⁿ, nâ-âu, kho͘-eh, chiū-sī kap phah-eh sio-siāng.","笑 ê 聲, 嚨喉, 呼噫, 就是 kap phah 噎 相像.",Ak4,4,
,Ak,握,,"chhú-liām, chi̍t-liām; gîm, the̍h, tùn-chhiú; tām-po̍h.","取捻, 一捻; gîm, the̍h, 頓手; 淡薄.",Ak4,4,
,Ak,喔,,"koe ê siaⁿ, koe-thî, khok-khok-háu.","雞 ê 聲, 雞啼, khok-khok哮.",Ak4,4,
,Ak,䠎,,chhùi-khí sio-ha̍p; chì-bî-sòe; sim-koaⁿ oe̍h-toe̍h.,嘴齒 相合; 至微細; 心肝 狹窄.,Ak4,4,
,ak,屋,Ok,"gōa-mn̂g, á-sī, chiū-sī kiò-tsòe mn̂g-ak.","外門, 抑是 兩廊, 就是 叫做 門屋.",ak4,4,
,ak,—,,"chhài ê miâ, chhin-chhiūⁿ ak-á-chhài.","菜 ê 名, 親像 ak-á菜.",ak4,4,
,A̍k,篗,,"lâng teh pháng-soe, teh tîⁿ soe-sòaⁿ ê soe-chiam.","人 teh 紡紗, teh 纏 紗線 ê 紗針.",Ak8,4,
,a̍k,籰,O̍k,"a̍k-á, se-a̍k, si-sòaⁿ-a̍k, chiū-sī sì-bīn sì-kak thang tîⁿ soe-sòaⁿ.","絞á, 紗絞, 絲線籰, 就是 四面 四角 通 纏 紗線.",ak8,4,
,Am,庵,,"hê-siūⁿ, nî-ko͘ ê keng, am-īⁿ; îⁿ ê chhù, liâu-á.","和尚, 尼姑 ê 宮, 庵院; 圓 ê 厝, 寮á.",Am1,4,
,Am,諳,,"bat, láu-liān, kì-tit, hiáu-tit, bêng-pe̍k-tsai; chhiùⁿ-liām; lóng-tsóng.","bat, 老練, 記得, 曉得, 明白知; 唱唸; lóng總.",Am1,4,
,Am,痷,,"pīⁿ ê miâ, chiū-sī oh-tit táⁿ-tia̍p ê pīⁿ.","病 ê 名, 就是 oh得 打揲 ê 病.",Am1,4,
,Am,腤,,sa̍h bah tsòe thng; lâ-sâm; iā-sī pháiⁿ ê hū-jîn-lâng.,煠 肉 做 湯; lâ-sâm; 也是 pháiⁿ ê 婦人人.,Am1,4,
,Am,堷,,pha-hng bô chèng-tsoh ê tōe; thang tsòe sòng-hiong lâng bâi-tsòng ê só͘-tsāi.,拋荒 無 種作 ê 地; thang 做 sòng-hiong人 埋葬 ê 所在.,Am1,4,
,Am,唵,,ēng chhiú the̍h-khí-lâi chia̍h; kâm mi̍h tī chhùi-ni̍h.,用 手 the̍h起來 食; 含 物 tī 嘴裡.,Am1,4,
,Am,菴,,"chháu ê miâ, liâu-á, am-biō, chiū-sī hê-siūⁿ teh tòa ê só͘-tsāi.","草 ê 名, 寮á, 庵廟, 就是 和尚 teh tòa ê 所在.",Am1,4,
,Am,㛺,,"ù-oè kan-îm ê hū-jîn-lâng, chiū-sī pháiⁿ ê hū-jîn-lâng.","污穢 姦淫 ê 婦人人, 就是 pháiⁿ ê 婦人人.",Am1,4,
,Am,掊,,"ēng chhiú loa̍h, ēng chhiú tah; jia-iám, iám-ba̍t.","用 手 捋, 用 手 搭; 遮掩, 掩密.",Am1,4,
,Am,盫,,"saⁿ-kha tiáⁿ; oáⁿ, á-sī au-á ê kòa, chhin-chhiūⁿ hip-au ê khoán.","三腳 鼎; 碗, 抑是 甌á ê 蓋, 親像 翕甌 ê 款.",Am1,4,
,Am,盦,,"saⁿ-kha tiáⁿ; oáⁿ, á-sī au-á ê kòa, chhin-chhiūⁿ hip-au ê khoán.","三腳 鼎; 碗, 抑是 甌á ê 蓋, 親像 翕甌 ê 款.",Am1,4,
,Am,䤃,,chiú-tsùi lâng ê kiáu-jiáu; kòa khàm khaⁿ hō͘ bī bōe chhut.,酒醉 人 ê 攪擾; 蓋 khàm 坩 hō͘ 味 bōe 出.,Am1,4,
,Am,闇,,"koaiⁿ-mn̂g m̄ kau-pôe lâng; ē-hng sî; o͘-àm, bô bêng; mî-sî.","關門 m̄ 交陪 人; 下昏 時; 烏暗, 無 明; 暝時.",Am1,4,
,Am,腌,,"mi̍h sīⁿ iâm; lâ-sâm, am-tsam, chiū-sī kiaⁿ-lâng ê ì-sù.","物 豉 鹽; lâ-sâm, 腌臢, 就是 驚人 ê 意思.",Am1,4,
,Am,鵪,,"chiáu ê miâ; ian-chhun, chiū-sī chit-hō chiáu ê miâ.","鳥 ê 名; 鵪鶉, 就是 chit號 鳥 ê 名.",Am1,4,
,am,—,,"un-thun; am-khám; am-tham, chiū-sī gōng ê ì-sù.","溫吞; 闇憨; 闇貪, 就是 戇 ê 意思.",am1,4,
,am,—,,"am-lam, am-teh, am-lâi am-khì, chiū-sī saⁿ-chham ê ì-sù.","掩lam, 掩teh, 掩來 掩去, 就是 相參 ê 意思.",am1,5,
,am,—,,"koe ê miâ, chiū-sī am-koe, lâng tsai kui-khu tī hn̂g-ni̍h.","瓜 ê 名, 就是 醃瓜, 人 栽 規坵 tī 園裡.",am1,5,
,am,—,,"koe-am, chiū-sī koaiⁿ koe hō͘ i bōe chhut-lâi ê khì-kū.","雞掩, 就是 關 雞 hō͘ 伊 bōe 出來 ê 器具.",am1,5,
,Ám,黯,,"iu-būn ê bīn-sek, siong-sim; o͘-àm, bak-o͘, kek-o͘.","憂悶 ê 面色, 傷心; 烏暗, 沐烏, 激烏.",Am2,5,
,Ám,隌,,"ji̍t ū hûn jia, ki-bi̍t, bô kng, o͘-àm, àm-chīⁿ.","日 有 雲 遮, 機密, 無 光, 烏暗, 暗靜.",Am2,5,
,Ám,揞,,"ēng chhiú tah, ēng chhiú loa̍h; jia-iám, iám-ba̍t.","用 手 搭, 用 手 捋; 遮掩, 掩密.",Am2,5,
,Ám,晻,,hûn jia ji̍t-thâu; ē-hng sî ê hûn bū-bū bô bêng.,雲 遮 日頭; 下昏 時 ê 雲 霧霧 無 明.,Am2,5,
,ám,淊,Hám,"ám-bê, thô͘-bê. tsúi móa ê khoán-sit, tiàm-lo̍h-khì.","泔糜, 土糜. 水 滿 ê 款式, 踮落去.",am2,5,
,ám,菡,Hâm,"ám-tām-hio̍h, chiū-sī chham tī tê-sim lâi bōe khah-sio̍k.","菡萏葉, 就是 摻 tī 茶心 來 賣 khah俗.",am2,5,
,ám,泔,[Ham|Kam],"ám-bê, ám-ám, ám-chiuⁿ, phun-ám, pn̄g-ám.","泔糜, 泔泔, 泔漿, 潘泔, 飯泔.",am2,5,
,ám,—,,"ám-pêng-súi-khang, chiū-sī tsûn-téng ê khang hō͘ tsúi lâu-chhut.","湆爿水空, 就是 船頂 ê 空 hō͘ 水 流出.",am2,5,
,Àm,暗,,"ji̍t ū hûn jia, ki-bi̍t, àm-chīⁿ, bô kng, àm-sî.","日 有 雲 遮, 機密, 暗靜, 無 光, 暗時.",Am3,5,
,Àm,䬓,,chhiⁿ-chin hut-jiân kè ê tōa-hong; hong-thai.,生瞋 忽然 過 ê 大風; 風颱.,Am3,5,
,Àm,闇,,"koaiⁿ-mn̂g ka-kī tòa; àm-àm, ē-hng sî, mî-sî.","關門 家己 tòa; 暗暗, 下昏 時, 暝時.",Am3,5,
,àm,—,,"àm-kiàm siong-hông, chiū-sī nn̄g ê saⁿ tí-te̍k ê ì-sù.","暗劍 相逢, 就是 兩 ê 相 抵敵 ê 意思.",am3,5,
,âm,㼨,Hâm,"tsúi-âm, kau-âm, âm-khang, chiū-sī teh lâu tsúi ê só͘-tsāi.","水涵, 溝涵, 涵空, 就是 teh 流 水 ê 所在.",am5,5,
,ām,蝦,Hâ,"ām-bôe, ām-mûi, chiū-sī sòe ê chhân-kap-á, á-sī tsúi-koe.","ām-bôe, ām-mûi, 就是 細 ê 田蛤á, 抑是 水蛙.",am7,5,
,ām,頷,Hâm,"ām-kún, ē-ām, ām-sê, oan-ām, ām-kún-kut.","頷頸, 下頷, 頷垂, 彎頷, 頷頸骨.",am7,5,
,ām,艷,Iām,"súi, hó-khòaⁿ, kng-iām, chháu-á, á-sī chhì-phè ê.","媠, 好看, 光艷, 草á, 抑是 刺phè ê.",am7,5,
,ām,艶,Iām,"chhiong-sēng; ām-ām, chhin-chhiūⁿ ām-sà-sà, chiū-sī chhì-á hoat kàu tsōe-tsōe ê ì-sù.","充盛; ām-ām, 親像 ām-sà-sà, 就是 刺á 發 到 濟濟 ê 意思.",am7,5,
,ām,豔,Iām,"chhiong-sēng; ām-ām, chhin-chhiūⁿ ām-sà-sà, chiū-sī chhì-á hoat kàu tsōe-tsōe ê ì-sù.","充盛; ām-ām, 親像 ām-sà-sà, 就是 刺á 發 到 濟濟 ê 意思.",am7,5,
,ām,豓,Iām,"chhiong-sēng; ām-ām, chhin-chhiūⁿ ām-sà-sà, chiū-sī chhì-á hoat kàu tsōe-tsōe ê ì-sù.","充盛; ām-ām, 親像 ām-sà-sà, 就是 刺á 發 到 濟濟 ê 意思.",am7,5,
,An,安,,"ún-tàng, tiāⁿ-tiāⁿ, tiàm, chēng-chēng, tsáiⁿ-iūⁿ, tah-lo̍h, pêng-an, an-sim.","穩當, 定定, 踮, 靜靜, 怎樣, 貼落, 平安, 安心.",An1,5,
